"sr_no","date_clean","startup_name","industry_clean","subvertical","city_clean","investors_name","investment_type","amount_clean"
"1","1/9/2020","BYJU’S","E-Tech","E-learning","Bengaluru","Tiger Global Management","Private Equity Round","200000000.0"
"2","1/13/2020","Shuttl","Transportation","App based shuttle service","Gurugram","Susquehanna Growth Equity","Series C","8048394.0"
"3","1/9/2020","Mamaearth","E-Commerce","Retailer of baby and toddler products","Bengaluru","Sequoia Capital India","Series B","18358860.0"
"4","1/2/2020","https://www.wealthbucket.in/","FinTech","Online Investment","New Delhi","Vinod Khatumal","Pre-series A","3000000.0"
"5","1/2/2020","Fashor","Fashion and Apparel","Embroiled Clothes For Women","Mumbai","Sprout Venture Partners","Seed Round","1800000.0"
"6","1/13/2020","Pando","Logistics","Open-market, freight management platform","Chennai","Chiratae Ventures","Series A","9000000.0"
"7","1/10/2020","Zomato","Hospitality","Online Food Delivery Platform","Gurugram","Ant Financial","Private Equity Round","150000000.0"
"8","12/12/2019","Ecozen","Technology","Agritech","Pune","Sathguru Catalyzer Advisors","Series A","6000000.0"
"9","12/6/2019","CarDekho","E-Commerce","Automobile","Gurugram","Ping An Global Voyager Fund","Series D","70000000.0"
"10","12/3/2019","Dhruva Space","Aerospace","Satellite Communication","Bengaluru","Mumbai Angels, Ravikanth Reddy","Seed","50000000.0"
"11","12/13/2019","Rivigo","Technology","Logistics Services and Solutions","Gurugram","SAIF Partners, Spring Canter Investment Ltd.","Series F","20000000.0"
"12","12/17/2019","Healthians","B2B-focused foodtech startup","Food Solutions For Corporate","Bengaluru","Paytm, NPTK, Sabre Partners and Neoplux","Series C","12000000.0"
"13","12/16/2019","Licious","E-Commerce","Online Meat And Seafood Ordering Startup","Bengaluru","Vertex Growth Fund","Series E","30000000.0"
"14","12/16/2019","InCred","Finance","Non-Banking Financial Company","Mumbai","Unknown","Debt Funding","5900000.0"
"15","12/14/2019","Trell","Video","Experience Discovery Platform","Bengaluru","Ruizheng Investment","Seed Round","2000000.0"
"16","12/11/2019","Rein Games","Gaming","Real money based gaming startup","Noida","Manipal Education and Medical Group (MEMG)","Seed Round","50000000.0"
"17","12/20/2019","Lenskart.com","E-Commerce","Online Eyewear Shopping Portal","Faridabad","SoftBank Vision Fund","Series G","231000000.0"
"18","11/13/2019","Freshworks","Software","Business and customer engagement tools","San Francisco","Sequoia, CapitalG, Accel","Series H","150000000.0"
"19","11/14/2019","Misters","Health and wellness","Men's Health and Wellness brand","Gurugram","Sauce.vc, Rainforest Ventures","Series B","486000.0"
"20","11/13/2019","Sunstone Eduversity Pvt. Ltd","Education","Elearning","Gurugram","Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg","Seed","1500000.0"
"21","11/17/2019","Burger Singh","Food & Beverage","Indian Burger Brand","Gurugram","RB Investments","Venture",""
"22","11/18/2019","Healthians","Health and Wellness","Healthcare services","Gurugram","DG Daiwa Ventures, DG Incubation","Series B","12000000.0"
"23","11/15/2019","Ninjacart","B2B Marketing","Agritech","Bengaluru","Trifecta Capital Advisors","Debt Funding","26000000.0"
"24","11/20/2019","Aye Finance","FinTech","Financial Services To MSMEs","Gurugram","FinTech","Debt Funding","17411265.0"
"25","11/12/2019","SuperGaming","Video Games","Social gaming platform","Pune","Dream Incubator","Seed Funding","1300000.0"
"26","11/20/2019","Clumio","SaaS","Recovery software","San Jose,","Altimeter Capital, Sutter Hill Ventures","Series C","135000000.0"
"27","11/11/2019","eBikeGo","Last Mile Transportation","Electric bike rental","Amritsar","Startup Buddy","Seed","300000.0"
"28","11/19/2019","Digital Mall Asia","E-Commerce","Virtual e-commerce platform","New Delhi","Amour Infrastructure","Seed Funding","220000000.0"
"29","11/18/2019","Medikabazaar","Healthcare","B2B platform for medical supplies","Mumbai","Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing","Series B","15800000.0"
"30","11/15/2019","Vogo Automotive","Last Mile Transportation","Scooter sharing app","Bengaluru","Matrix Partners, Stellaris Venture Partners, Kalaari Capital","Series B","283000000.0"
"31","11/19/2019","Furtados School of Music","Education","Music Education","Tulangan","IAN Fund and DSG Consumer Partners","Unknown","200000000.0"
"32","11/25/2019","Paytm","FinTech","Mobile Wallet","Noida","Vijay Shekhar Sharma","Funding Round","1000000000.0"
"33","10/4/2019","Dunzo","Customer Service","Delivery Service","Bengaluru","Lightbox","Series D","45000000.0"
"34","10/2/2019","Udaan","B2B","Business development","Bengaluru","Altimeter Capital, DST Global","Series D","585000000.0"
"35","10/21/2019","The Man Company","Consumer Goods","Beauty and Grooming","Gurugram","Ayushmann Khurana","Corporate Round",""
"36","9/5/2019","FPL Technologies","FinTech","Financial Services","Pune","Matrix Partners India, Sequoia India","Maiden Round","4500000.0"
"37","9/4/2019","Cashflo","FinTech","Invoice discounting platform and SME lending marketplace","Mumbai","SAIF Partners","Series A","3300000.0"
"38","9/4/2019","Digital F5","Advertising, Marketing","Digital marketing firm","Mumbai","TIW Private Equity","Private Equity Round","6000000.0"
"39","9/4/2019","3rdFlix","SaaS","Education Technology","Hyderabad","Exfinity Venture Partners","pre-series A","5000000.0"
