sr_no,date,startup_name,industry_vertical,subvertical,city_location,investors_name,investment_type,amount_in_usd,remarks,city_clean,industry_clean,amount_clean,date_clean
1,9/1/2020,BYJU’S,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,"20,00,00,000",,Bengaluru,E-Tech,200000000,1/9/2020
2,13/01/2020,Shuttl,Transportation,App based shuttle service,Gurugram,Susquehanna Growth Equity,Series C,"80,48,394",,Gurugram,Transportation,8048394,1/13/2020
3,9/1/2020,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,"1,83,58,860",,Bengaluru,E-Commerce,18358860,1/9/2020
4,2/1/2020,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,"30,00,000",,New Delhi,FinTech,3000000,1/2/2020
5,2/1/2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,"18,00,000",,Mumbai,Fashion and Apparel,1800000,1/2/2020
6,13/01/2020,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,"90,00,000",,Chennai,Logistics,9000000,1/13/2020
7,10/1/2020,Zomato,Hospitality,Online Food Delivery Platform,Gurugram,Ant Financial,Private Equity Round,"15,00,00,000",,Gurugram,Hospitality,150000000,1/10/2020
8,12/12/2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,"60,00,000",,Pune,Technology,6000000,12/12/2019
9,6/12/2019,CarDekho,E-Commerce,Automobile,Gurugram,Ping An Global Voyager Fund,Series D,"7,00,00,000",,Gurugram,E-Commerce,70000000,12/6/2019
10,3/12/2019,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,"5,00,00,000",,Bengaluru,Aerospace,50000000,12/3/2019
11,13/12/2019,Rivigo,Technology,Logistics Services and Solutions,Gurugram,"SAIF Partners, Spring Canter Investment Ltd.",Series F,"2,00,00,000",,Gurugram,Technology,20000000,12/13/2019
12,17/12/2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,"1,20,00,000",,Bengaluru,B2B-focused foodtech startup,12000000,12/17/2019
13,16/12/2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,"3,00,00,000",,Bengaluru,E-Commerce,30000000,12/16/2019
14,16/12/2019,InCred,Finance,Non-Banking Financial Company,Mumbai,Unknown,Debt Funding,"59,00,000",,Mumbai,Finance,5900000,12/16/2019
15,14/12/2019,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,"20,00,000",,Bengaluru,Video,2000000,12/14/2019
16,11/12/2019,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,"5,00,00,000",,Noida,Gaming,50000000,12/11/2019
17,20/12/2019,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,"23,10,00,000",,Faridabad,E-Commerce,231000000,12/20/2019
18,13/11/2019,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,"15,00,00,000",,San Francisco,Software,150000000,11/13/2019
19,14/11/2019,Misters,Health and wellness,Men's Health and Wellness brand,Gurugram,"Sauce.vc, Rainforest Ventures",Series B,"4,86,000",,Gurugram,Health and wellness,486000,11/14/2019
20,13/11/2019,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurugram,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,"15,00,000",,Gurugram,Education,1500000,11/13/2019
21,17/11/2019,Burger Singh,Food and Beverage,Indian Burger Brand,Gurugram,RB Investments,Venture,undisclosed,,Gurugram,Food & Beverage,,11/17/2019
22,18/11/2019,Healthians,Health and Wellness,Healthcare services,Gurugram,"DG Daiwa Ventures, DG Incubation",Series B,"1,20,00,000",,Gurugram,Health and Wellness,12000000,11/18/2019
23,15/11/2019,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,"2,60,00,000",,Bengaluru,B2B Marketing,26000000,11/15/2019
24,20/11/2019,Aye Finance,FinTech,Financial Services To MSMEs,Gurugram,FinTech,Debt Funding,"1,74,11,265",,Gurugram,FinTech,17411265,11/20/2019
25,12/11/2019,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,"13,00,000",,Pune,Video Games,1300000,11/12/2019
26,20/11/2019,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,"13,50,00,000",,"San Jose,",SaaS,135000000,11/20/2019
27,11/11/2019,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,"3,00,000",,Amritsar,Last Mile Transportation,300000,11/11/2019
28,19/11/2019,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,New Delhi,Amour Infrastructure,Seed Funding,"22,00,00,000",,New Delhi,E-Commerce,220000000,11/19/2019
29,18/11/2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,"1,58,00,000",,Mumbai,Healthcare,15800000,11/18/2019
